Word,2L Score,3 L Score,4L Score,f(Freq),AVG Val (Actual)
manly,1.3453626508585061,0.34230453425782315,0.023127605217157458,0.005,4.34
molar,1.398053895751163,0.37733783413922084,0.038456366814575774,0.005,4.14
havoc,0.49337521551215135,0.04570750843901104,0.002016942315449778,0.005,4.4
impel,0.7906757043999906,0.2145789617735608,0.04249025144547532,0.005,4.15
condo,1.4388890200987223,0.543198613265213,0.05109587199139438,0.005,4.45
judge,0.2727380080772773,0.06659976279536538,0.020438348796557752,0.008,5.18
extra,0.9887107059351457,0.49146975640908674,0.08403926314374076,0.008,4.18
poise,1.1434779528116956,0.181644010582976,0.014656447492268389,0.005,3.72
aorta,0.9448525070262865,0.22014414743180366,0.02971628344762673,0.005,4.13
excel,0.6345150090928414,0.11933217772101085,0.013849670566088476,0.005,4.51
lunar,1.3579036867338985,0.22634796095246784,0.01882479494419793,0.005,3.75
third,0.7237429441912095,0.19505519569382354,0.007798843619739142,0.009000000000000001,3.47
slate,1.7866134479582438,1.0127725572484263,0.2008874546187979,0.005,3.43
taper,1.7728679058123333,0.5657330535535079,0.030254134731746672,0.005,4.07
chord,1.109562835077112,0.4017881580147797,0.06023934382143337,0.005,3.66
probe,0.9623532746038118,0.44804306176443753,0.02971628344762673,0.005,4.19
rival,1.4073829149051746,0.1474318036675486,0.043431491192685225,0.007,4
usual,1.2245341394865497,0.08612352887510263,0.011698265429608713,0.007,4.24
spoke,0.4841879029782008,0.1379436182830034,0.00927793465106898,0.007,3.82
apply,0.6662572919864906,0.1113949457166317,0.01734570391286809,0.008,4.05
naive,0.7651921305590326,0.3516102545388194,0.002823719241629689,0.005,4.08
knock,0.5720696251859899,0.15573396587902563,0.00672314105149926,0.007,4.22
braid,0.9995040268297867,0.22543563543472311,0.0227242167540675,0.005,3.56
infer,1.9199593774355825,0.21612991515372684,0.03173322576307651,0.005,4.3
joust,1.183132188658747,0.8645196606149073,0.005781901304289364,0.005,4.02
amber,1.3677522968281335,0.2281726119879573,0.04423826811886514,0.005,4.23
woken,0.783613991166954,0.06659976279536539,0.0063197525884093044,0.005,4.8
adore,1.3022129850499515,0.24760514551592008,0.01573215006050827,0.005,3.6
torso,1.0531872180628705,0.414195785056108,0.023396530859217425,0.005,3.85
chafe,0.6410571313856546,0.20107654411093878,0.005781901304289364,0.005,3.97
eject,0.381025483573841,0.2928564911960587,0.036573887320155984,0.005,4.55
study,0.7181927682388228,0.07079646017699114,0.00981578593518892,0.009000000000000001,4.03
undue,0.7763869535438463,0.3091871179636895,0.011967191071668683,0.005,4.4
tepid,1.2459082213457404,0.15235836146337012,0.023665456501277396,0.005,3.57
happy,0.47256796013320423,0.11696013137487456,0.0065886782304692745,0.009000000000000001,3.9
clean,1.5272430977067146,0.25380895903658424,0.03590157321500605,0.008,3.45
itchy,0.8890200987222787,0.15801477967338748,0.03630496167809601,0.005,3.87
feast,1.0687985640395834,0.38262932214214035,0.025413473174667203,0.005,3.83
drive,1.002550719161097,0.4279719003740534,0.028775043700416836,0.009000000000000001,3.74
